,B14.5,B15.5,B17.5,B20,B34,C14.5,C15.5,C17.5,C20,C34
ENSMUSG00000044390,161,142,99,99,45,162,112,170,105,45
ENSMUSG00000024826,1532,1508,1366,900,789,1582,1347,1294,1090,1143
ENSMUSG00000045664,58,184,207,125,169,126,300,537,271,397
ENSMUSG00000024833,655,470,322,204,126,277,320,239,227,133
ENSMUSG00000037451,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000024942,47,81,118,116,264,87,143,237,177,269
ENSMUSG00000097404,1,1,3,6,5,3,3,3,3,16
ENSMUSG00000118194,0,0,0,0,0,0,1,0,0,0
ENSMUSG00000094281,14,17,20,9,4,19,13,12,7,9
ENSMUSG00000024807,616,744,800,759,764,543,823,869,853,646
ENSMUSG00000098928,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000007338,692,537,465,458,601,535,500,566,456,547
ENSMUSG00000118496,1,1,0,1,1,0,1,0,0,0
ENSMUSG00000038274,2790,2638,1894,1702,1197,1740,2327,2534,1945,992
ENSMUSG00000075227,42,53,32,40,71,31,45,53,56,50
ENSMUSG00000024799,452,549,571,624,405,505,723,945,758,353
ENSMUSG00000024797,436,453,449,398,329,451,472,570,499,398
ENSMUSG00000100621,3,0,1,1,0,1,0,2,0,0
ENSMUSG00000047733,5,1,3,5,1,1,0,3,2,1
ENSMUSG00000024792,217,269,294,281,181,182,274,296,235,126
ENSMUSG00000024791,225,130,46,33,4,69,51,12,38,2
ENSMUSG00000117666,17,13,6,3,1,5,5,0,4,0
ENSMUSG00000054999,64,51,39,33,7,19,18,20,27,3
ENSMUSG00000024790,154,162,138,148,149,98,141,212,157,88
ENSMUSG00000024787,283,310,315,351,351,352,360,536,439,420
ENSMUSG00000024944,414,385,352,377,359,411,516,728,549,544
ENSMUSG00000039699,1,0,2,1,3,0,1,0,0,1
ENSMUSG00002076495,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000083458,26,25,23,39,38,23,27,32,38,15
ENSMUSG00000118181,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104884,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000047810,11,23,17,28,49,10,15,23,49,22
ENSMUSG00000024953,592,709,653,760,1456,605,765,1401,1204,1881
ENSMUSG00000038812,360,336,283,228,181,241,300,367,236,171
ENSMUSG00000024955,352,373,302,268,453,242,318,292,295,621
ENSMUSG00000098413,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000050623,2,2,5,5,31,1,5,12,5,15
ENSMUSG00000024957,8,16,30,47,238,10,26,55,87,83
ENSMUSG00000024958,414,536,534,599,866,387,592,827,701,816
ENSMUSG00000024959,73,76,87,94,77,74,93,118,99,97
ENSMUSG00000024960,422,439,460,378,294,403,446,348,515,632
ENSMUSG00000056612,2561,2461,1418,1419,270,1500,1699,1912,1244,178
ENSMUSG00000056629,320,356,407,489,817,354,404,829,613,811
ENSMUSG00000024962,326,412,529,492,533,236,469,730,603,478
ENSMUSG00000024963,99,120,111,101,114,112,141,130,114,182
ENSMUSG00000037349,67,66,38,50,31,61,74,88,76,155
ENSMUSG00000047656,93,76,50,65,64,54,81,109,109,100
ENSMUSG00000024965,71,64,85,48,66,55,82,46,73,48
ENSMUSG00000024966,3432,2590,2637,1969,2372,2727,2147,2464,2045,2426
ENSMUSG00002075372,0,0,0,0,0,0,0,0,0,2
ENSMUSG00000118062,0,0,1,0,0,1,1,0,0,0
ENSMUSG00000084221,632,574,419,512,285,513,338,284,385,124
ENSMUSG00000084825,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000085285,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000118668,45,79,90,123,230,50,73,137,215,211
ENSMUSG00000039652,195,236,314,322,758,400,366,375,435,1037
ENSMUSG00002075338,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000097591,0,1,1,1,2,3,2,3,2,6
ENSMUSG00002075087,0,0,0,1,0,1,3,1,0,2
ENSMUSG00000023307,1312,1159,860,971,697,1398,905,995,834,670
ENSMUSG00000089143,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000056999,974,798,877,958,1325,869,908,774,1287,1157
ENSMUSG00000080885,5811,4962,3911,3171,1431,4407,4209,4450,3433,2005
ENSMUSG00000012443,1588,800,458,200,84,404,277,81,233,32
ENSMUSG00000117988,9,6,8,16,9,6,4,2,9,8
ENSMUSG00000118211,177,139,120,207,92,63,130,146,137,55
ENSMUSG00000102353,1,0,0,0,0,3,5,0,3,2
ENSMUSG00000024986,46,34,35,38,31,36,43,21,19,27
ENSMUSG00002075640,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000117800,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000067889,3933,4527,5348,6867,16559,4425,4031,4230,4545,7967
ENSMUSG00000033760,1223,1050,1026,809,369,1265,986,748,773,786
ENSMUSG00000103651,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000094936,108,106,87,91,56,124,110,82,72,86
ENSMUSG00000035818,4,4,6,11,20,11,8,8,26,3
ENSMUSG00000025077,224,162,175,226,194,187,182,135,191,147
ENSMUSG00000120075,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000099923,11,16,10,12,11,15,14,13,13,1
ENSMUSG00000117914,0,1,0,2,0,1,1,5,3,0
ENSMUSG00000097091,1,0,0,1,0,0,0,1,1,0
ENSMUSG00000120141,2,0,1,3,0,2,4,3,0,1
ENSMUSG00000120136,0,0,0,1,0,0,1,0,0,0
ENSMUSG00000119982,0,1,0,0,0,0,0,0,0,1
ENSMUSG00000119968,26,17,17,10,12,28,18,17,15,19
ENSMUSG00000119991,20,17,19,14,14,16,15,27,9,10
ENSMUSG00000094707,0,0,3,1,9,4,1,2,2,1
ENSMUSG00000117979,1,3,2,3,1,1,0,2,1,2
ENSMUSG00000092274,88,99,128,191,325,129,139,66,230,2505
ENSMUSG00000120104,25,39,63,119,125,107,116,192,155,101
ENSMUSG00000120380,0,0,0,0,1,0,0,0,0,2
ENSMUSG00000097636,33,31,25,30,32,12,13,14,30,114
ENSMUSG00000117698,19,20,19,22,15,19,17,13,29,16
ENSMUSG00000109695,37,26,36,38,33,73,30,34,43,129
ENSMUSG00000120219,20,12,12,11,4,18,17,6,24,20
ENSMUSG00000097930,4,4,4,5,2,7,4,3,3,4
ENSMUSG00000120446,0,0,0,0,0,0,1,0,0,0
ENSMUSG00000120011,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000120130,22,25,35,49,21,26,40,12,68,18
ENSMUSG00000117848,4,7,3,7,3,2,6,4,10,1
ENSMUSG00000118150,0,0,1,0,0,0,0,0,0,0
ENSMUSG00000120470,1,0,1,0,1,1,1,2,3,0
ENSMUSG00000117718,0,1,2,1,1,2,1,2,3,0
ENSMUSG00000120067,0,0,0,1,0,0,0,1,0,0
ENSMUSG00000120139,5,5,10,11,6,6,7,0,11,9
ENSMUSG00000087095,137,80,50,41,40,55,84,48,43,10
ENSMUSG00000094732,0,0,0,0,2,0,0,0,0,7
ENSMUSG00000120203,0,0,1,0,0,0,0,1,0,0
ENSMUSG00000117655,4,3,2,5,8,5,3,13,12,9
ENSMUSG00000120513,0,0,0,0,0,1,0,0,0,0
ENSMUSG00000120514,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000120174,2,2,1,9,7,0,3,6,3,0
ENSMUSG00000120438,1,2,1,1,0,2,4,0,1,0
ENSMUSG00000120396,1,1,5,2,1,1,3,2,2,9
ENSMUSG00000120152,0,0,0,1,1,0,0,1,3,0
ENSMUSG00000120068,2,1,1,3,0,1,0,2,3,3
ENSMUSG00000079467,6,11,2,11,11,5,6,6,7,14
ENSMUSG00000101089,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000120551,0,0,1,4,6,0,0,1,2,5
ENSMUSG00000120562,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000118210,0,0,0,0,0,0,0,0,0,4
ENSMUSG00000117859,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000120254,19,27,21,26,20,7,1,6,4,5
ENSMUSG00000120326,2,1,0,4,0,0,2,3,4,2
ENSMUSG00000118155,0,0,0,0,0,0,0,0,0,1
ENSMUSG00000120593,3,4,3,3,2,5,2,5,4,2
ENSMUSG00000100417,15,7,18,14,27,20,17,33,23,14
ENSMUSG00000118245,1,5,4,4,8,0,2,7,8,8
ENSMUSG00000120097,0,0,0,0,0,0,2,0,0,0
ENSMUSG00000120608,0,0,1,3,0,1,3,5,3,6
ENSMUSG00000097785,20,30,35,46,32,32,25,25,35,42
ENSMUSG00000097557,10,6,4,8,4,10,9,4,10,7
ENSMUSG00000053117,343,165,90,64,21,35,39,18,27,11
ENSMUSG00000120626,0,0,0,0,0,0,1,0,1,1
ENSMUSG00000089766,0,3,11,4,0,5,0,3,1,0
ENSMUSG00000120685,3,0,2,1,3,2,1,2,4,19
ENSMUSG00000118263,4,9,9,8,10,6,6,7,6,2
ENSMUSG00000120690,9,7,4,9,5,6,6,9,12,6
ENSMUSG00000120167,4,2,3,1,0,0,0,2,0,2
ENSMUSG00000100392,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000043488,0,1,1,3,1,1,0,0,2,2
ENSMUSG00000120718,0,0,0,0,1,0,1,0,1,0
ENSMUSG00000120733,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000120748,6,7,3,0,1,1,1,3,3,2
ENSMUSG00000117768,4,9,7,3,0,9,8,6,4,9
ENSMUSG00000117692,0,0,0,0,0,1,1,2,2,0
ENSMUSG00000120776,0,0,0,0,0,0,0,0,0,1
ENSMUSG00000118038,2,0,0,0,2,1,2,0,2,6
ENSMUSG00000120787,2,0,0,3,1,1,3,0,3,8
ENSMUSG00000086938,3,3,2,2,5,2,2,3,2,3
ENSMUSG00000097855,50,30,46,56,33,41,44,23,58,41
ENSMUSG00000099757,5,4,5,1,0,2,1,0,1,1
ENSMUSG00000120807,10,5,6,4,2,7,3,4,6,5
ENSMUSG00000120814,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000120816,0,0,0,0,0,0,0,0,0,3
ENSMUSG00000117696,1,1,0,1,5,0,0,0,1,5
ENSMUSG00000087132,3,0,3,1,4,3,5,2,1,22
ENSMUSG00000120425,601,431,652,725,843,471,410,878,662,693
ENSMUSG00000120860,0,0,0,1,0,0,0,1,1,0
ENSMUSG00000120878,0,1,5,9,2,4,3,1,1,0
ENSMUSG00000120881,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000120890,0,0,0,0,0,0,1,0,0,0
ENSMUSG00000120891,13,9,7,5,4,11,8,8,15,10
ENSMUSG00000120900,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000120901,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000097683,57,69,98,74,14,5,6,0,1,0
ENSMUSG00000117990,0,2,1,3,1,3,1,0,2,0
ENSMUSG00000120932,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000092341,5319,4851,4753,11711,12146,7148,4119,4002,6973,9709
ENSMUSG00000120362,26,16,26,27,19,14,17,22,35,13
ENSMUSG00000087367,2,0,0,0,0,3,1,2,1,1
ENSMUSG00000118087,21,17,22,8,21,9,11,7,8,9
ENSMUSG00000120982,2,1,0,1,1,1,0,0,1,0
ENSMUSG00000075010,1,0,0,1,1,1,1,2,2,7
ENSMUSG00000120701,0,0,0,0,1,0,0,1,0,0
ENSMUSG00000118168,1,1,0,2,1,0,1,0,0,2
ENSMUSG00000120555,0,3,1,1,0,1,2,0,0,0
ENSMUSG00000097779,0,1,0,0,0,0,0,0,0,0
ENSMUSG00000110156,26,14,20,27,45,17,17,26,38,44
ENSMUSG00000121016,1,4,2,1,1,0,2,6,1,5
ENSMUSG00000118100,11,5,4,3,2,15,7,4,10,3
ENSMUSG00000067577,2,0,1,0,0,6,2,3,6,0
ENSMUSG00000121027,6,3,4,6,0,3,3,2,4,2
ENSMUSG00000087579,2,4,3,4,10,3,0,0,3,3
ENSMUSG00000108414,536,374,234,264,86,380,279,213,248,207
ENSMUSG00000097787,29,21,22,42,25,40,40,24,45,21
ENSMUSG00000121055,0,0,0,0,0,0,0,0,0,0
