,B14.5,B15.5,B17.5,B20,B34,C14.5,C15.5,C17.5,C20,C34
ENSMUSG00000043623,0,2,0,0,3,0,1,0,2,0
ENSMUSG00000099678,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000045052,2,3,3,4,3,7,10,12,11,4
ENSMUSG00000024937,431,501,491,509,428,473,436,749,639,228
ENSMUSG00000024939,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000118125,103,101,102,117,66,101,132,124,126,41
ENSMUSG00000038658,981,1015,1096,1023,1012,1091,887,623,885,1158
ENSMUSG00000079478,3,5,4,7,3,2,4,8,4,5
ENSMUSG00000033417,869,714,690,681,695,913,686,487,657,656
ENSMUSG00002075851,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000117790,1,0,1,0,1,0,0,0,0,0
ENSMUSG00000072437,355,430,436,458,430,577,569,575,594,280
ENSMUSG00000024991,6370,5044,5940,5781,4627,7007,4453,3529,4463,3586
ENSMUSG00000118735,0,0,0,0,0,0,0,0,0,0
ENSMUSG00002075991,0,0,0,0,0,0,0,0,0,0
ENSMUSG00002075125,0,0,0,1,0,0,0,0,1,1
ENSMUSG00000046324,338,283,331,491,1199,432,394,394,567,1597
ENSMUSG00000024806,0,1,0,0,0,0,0,0,0,0
ENSMUSG00000024940,728,630,719,506,421,432,651,487,830,1842
ENSMUSG00000024993,378,346,382,456,453,414,312,303,446,645
ENSMUSG00000046138,1591,1384,1713,1600,1110,1437,1214,674,1249,1107
ENSMUSG00000118251,0,0,0,0,0,0,0,1,1,0
ENSMUSG00000083036,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000074909,563,515,467,462,492,973,663,614,643,960
ENSMUSG00000117883,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000063698,110,89,85,100,184,141,98,121,88,259
ENSMUSG00000024997,447,389,348,574,741,345,504,522,647,776
ENSMUSG00000024810,6,4,23,13,204,10,10,29,142,379
ENSMUSG00000087937,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000024815,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000003228,391,387,467,430,410,468,401,316,333,629
ENSMUSG00000096578,2,1,2,2,3,3,1,0,1,1
ENSMUSG00000088894,0,0,0,0,0,0,0,1,0,0
ENSMUSG00000074733,609,531,536,475,494,634,450,248,371,840
ENSMUSG00000070263,1,1,0,0,0,0,0,0,0,0
ENSMUSG00000118252,451,438,242,330,243,555,441,368,391,293
ENSMUSG00000094649,46,30,36,26,18,37,36,28,34,7
ENSMUSG00000069475,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000024817,1702,1484,1383,1105,725,1663,1200,936,883,818
ENSMUSG00000024941,868,933,975,953,981,856,1041,1439,1137,1016
ENSMUSG00000059326,344,390,381,476,297,411,644,769,632,223
ENSMUSG00000117740,1,0,1,1,0,2,2,3,1,0
ENSMUSG00000117782,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000117951,4,1,0,0,3,0,0,1,0,7
ENSMUSG00000095993,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000118197,5,7,0,2,0,7,6,2,1,2
ENSMUSG00000024827,564,369,289,279,246,276,215,175,286,299
ENSMUSG00000058607,1,4,1,2,1,2,2,2,3,0
ENSMUSG00000024863,0,1,0,0,0,0,1,0,0,0
ENSMUSG00002075891,0,0,0,0,0,0,0,0,0,0
ENSMUSG00002075253,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000118374,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000117953,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000058816,1,4,4,2,1,3,1,4,2,1
ENSMUSG00000024868,6,9,3,1,1,19,31,14,16,1
ENSMUSG00000052920,74,91,142,161,186,184,167,98,189,276
ENSMUSG00002076671,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000053536,1201,1047,987,1168,996,1495,1114,915,1025,1139
